NO,source_id,source_name,source_url,description_mode,license_id,rights_holder,attribution_text,evidence_url,verified_at,rights_status,similarity_check,privacy_mode
WEB8463bcdac2,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2608hypnosismic-collab.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBfcb710cee2,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e86031_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBa170e74c8f,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e75119_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBfa8b57b35e,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e87342_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBfc764255eb,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e85938_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBb4a2f0d12b,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e88532_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB7e6afd9c80,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e87435_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB7b72bf0f7e,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e86619_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBc69b07e58e,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e86460_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB3faf23ca58,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e86653_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB2eefc33350,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e87535_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBa4d881752d,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e87865_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBccf15258ee,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e87267_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBf6c8811143,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e86915_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEB0cd5579510,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/event_e81831_as.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBafe3721c92,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2606-coolsakusen.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
WEBe043ce4cbc,src_4cae6c5e1c8e9b8a,イオンモール浜松市野,https://www.aeon.jp/sc/hamamatsuichino/event/2608coupon-off.html,facts_only,,,,,,unknown,passed_deterministic,public_facts_minimized
